category,english,lummi,part_of_speech,context_notes,source
vocabulary,a dressed skin,hül-la-kan,noun,N/A,original
vocabulary,above,se-suk′tl,noun,N/A,original
vocabulary,adze,s'chüm′mün,noun,N/A,original
vocabulary,afraid,sái-sin,noun,N/A,original
vocabulary,after,il-kwâ-wüs,noun,N/A,original
vocabulary,afternoon,Skwey'el,noun,N/A,original
vocabulary,alder,skwang-l'tch,noun,N/A,original
vocabulary,alive,"hal-ikh, hal-lé",noun,N/A,original
vocabulary,all,"makw, mokw",noun,N/A,original
vocabulary,also,Tl'al,noun,N/A,original
vocabulary,always,"wai, wa-hái, o-wái-la;",noun,N/A,original
vocabulary,am,Do,noun,N/A,original
vocabulary,and,I,noun,N/A,original
vocabulary,and you,I' tse nekw,noun,N/A,original
vocabulary,anemone,SLhoLex,noun,N/A,original
vocabulary,angry,kwin-tün,noun,N/A,original
vocabulary,animals,TetoseLnexw,noun,N/A,original
vocabulary,arbutus ( a. menzesii ),kō-kwéltsh,noun,N/A,original
vocabulary,arm,ta′lo;,noun,N/A,original
vocabulary,arrow,yitcht,noun,N/A,original
vocabulary,ashes,kwái-chp,noun,N/A,original
vocabulary,at,"_to be at_, lä-si _or_ lak-si;",noun,N/A,original
vocabulary,atlas joint,kük-kak-w'chis,noun,N/A,original
vocabulary,aunt,shé-ilsh,noun,N/A,original
vocabulary,autumn,"chits-at-lin, tsa-whéngst",noun,N/A,original
vocabulary,axe,"ku′küm. (küm-müt, _to chop_.)",noun,N/A,original
vocabulary,back,"_the_, stas-kwitl",noun,N/A,original
vocabulary,bad,"h'äs, s'häs",noun,N/A,original
vocabulary,bag  or sack ,chu-kwal′,noun,N/A,original
vocabulary,bail a boat,"_to_, chi-kwást;",noun,N/A,original
vocabulary,( in simiamoo ),kwül′lüt,noun,N/A,original
vocabulary,bald,ko′a-lekw,noun,N/A,original
vocabulary,bald eagle,yükh-wül-la,noun,N/A,original
vocabulary,barberry,skwâ-cha-sitsh,noun,N/A,original
vocabulary,bark,"_of the fir_, chül′li;",noun,N/A,original
vocabulary,barnacle,süm-mai-ya,noun,N/A,original
vocabulary,barnacles,Tsemie,noun,N/A,original
vocabulary,basket,"_potato basket_, kl-päk;",noun,N/A,original
vocabulary,be,"_to_, _See ""at,"" ""live.""_",verb,N/A,original
vocabulary,be quiet,semexw,verb,N/A,original
vocabulary,beach birds,"small snipe (_?generic_), pel-latsh, skeks",noun,N/A,original
vocabulary,beads,"_large blue kind_, shkwe′-kwün;",noun,N/A,original
vocabulary,beak,nük′sünsh (v. _nose_),noun,N/A,original
vocabulary,bear,"_black_, schüt′hün;",noun,N/A,original
vocabulary,beard,kwin′s'n;,noun,N/A,original
vocabulary,beaver,skül-láu,noun,N/A,original
vocabulary,before ( in point of time ),kwül-hés-lüt-sin,noun,N/A,original
vocabulary,bellingham,Xwotqwem,noun,N/A,original
vocabulary,belly,"kwül′la, kläs",noun,N/A,original
vocabulary,below,kläkhl,noun,N/A,original
vocabulary,berries,selhteneng,noun,N/A,original
vocabulary,berries of do.,kül-lük,noun,N/A,original
vocabulary,big horn ( ovis montana ),kwe-kwüt-chen,noun,N/A,original
vocabulary,big sea urchin,Xaox,noun,N/A,original
vocabulary,birch,kats-ül′tch,noun,N/A,original
vocabulary,birch bay,Ts'awex,noun,N/A,original
vocabulary,bird,"_water fowl_, mo′ōk;",noun,N/A,original
vocabulary,birds,_parts of_:,noun,N/A,original
vocabulary,bite,"_to_, tsing-ut-tüng",noun,N/A,original
vocabulary,black,nük-kikh,noun,N/A,original
vocabulary,black bear,Schetxwen,noun,N/A,original
vocabulary,black cap,Chilqwome,noun,N/A,original
vocabulary,blackberries,SqeLaLnexw,noun,N/A,original
vocabulary,blanket,"_feather blanket_ (_a native manufacture_), stüm-mo-whitl;",noun,N/A,original
vocabulary,blaze,"_to_, hu-tâ-ku",noun,N/A,original
vocabulary,blind,klä-litsh,noun,N/A,original
vocabulary,blood,säs-tchin,noun,N/A,original
vocabulary,blow  with the breath ,"_to_, pa′-hwt;",noun,N/A,original
vocabulary,blue,chi-á-lis;,noun,N/A,original
vocabulary,blue berry,MoLsem,noun,N/A,original
vocabulary,blue heron,snekwe,noun,N/A,original
vocabulary,blue jay,chi-ya,noun,N/A,original
vocabulary,board,"_planks_, sél-to",noun,N/A,original
vocabulary,bob cat,Kwechpish,noun,N/A,original
vocabulary,boil,"_to_, kwül-lüs′",noun,N/A,original
vocabulary,bone,"sōm, s'ham",noun,N/A,original
vocabulary,bore,"_to_, _as with a gimlet_, slük′-wüt, nük-slük′wüt",noun,N/A,original
vocabulary,bosom ( female ),sküm′ma,noun,N/A,original
vocabulary,both do.,skül′la-hans,noun,N/A,original
vocabulary,bow,tsá-cha-sen,noun,N/A,original
vocabulary,bowl,lo'sen,noun,N/A,original
vocabulary,bowsman,"_of canoe_, he′u",noun,N/A,original
vocabulary,box  or chest ,kla-yüks,noun,N/A,original
vocabulary,boy,"s'ch-chi-álkh, schi′atl, stet-látkl",noun,N/A,original
vocabulary,bracelets,"_of brass wire_, tsa-met-chin",noun,N/A,original
vocabulary,brain,smet-küs,noun,N/A,original
vocabulary,brake fern,sük-ka-an′,noun,N/A,original
vocabulary,brant,lholi,noun,N/A,original
vocabulary,brant ( bernicla ),"hül-hül′tsh, hül-hül′cha",noun,N/A,original
vocabulary,bread,"_baked_, tau′ükh",noun,N/A,original
vocabulary,break,"_to_, (_broken_), ti-kwüt-tüng",noun,N/A,original
vocabulary,breast ( chest ),tsüng′ütl,noun,N/A,original
vocabulary,breeze,PexwiLe,noun,N/A,original
vocabulary,bring,"_to_, an-ákh-hu",verb/gerund,N/A,original
vocabulary,broad,nükh-hwái-ük-w'tl,noun,N/A,original
vocabulary,brother,"_elder_, shi-itlkh;",noun,N/A,original
vocabulary,brother-in-law,_idem (?)_,noun,N/A,original
vocabulary,brown,Nekwiem,noun,N/A,original
vocabulary,buck,"sist-ün, _i.e._ ""horned.""",noun,N/A,original
vocabulary,burn,"_I_, chükw′ sin;",noun,N/A,original
vocabulary,bury,"_to_, (_to cache_), as-chá-nütl",noun,N/A,original
vocabulary,butter clam,Soxwe,noun,N/A,original
vocabulary,buy,"_to_, (_to trade or barter_), hwái-üm;",noun,N/A,original
vocabulary,bye and bye,o-wäs-hés,noun,N/A,original
vocabulary,calorhynchus,skwâ-ma,noun,N/A,original
vocabulary,canada goose,ákh-ha,noun,N/A,original
vocabulary,canadian goose,Tl'akweng,noun,N/A,original
vocabulary,canoe,Snekwlh,noun,N/A,original
vocabulary,canoe ( generic ),skwâlkh;,noun,N/A,original
vocabulary,canvass back ( aythya ),hókh-ko-nitsh,noun,N/A,original
vocabulary,carry,"_to_, süng-at′;",noun,N/A,original
vocabulary,cat-tail rush,s_á_-kün,noun,N/A,original
vocabulary,cattail mat,Slawen,noun,N/A,original
vocabulary,cedar,"(_Thuja_), h'pai",noun,N/A,original
vocabulary,cedar ( thuja ),h'chá-chiltsh,noun,N/A,original
vocabulary,cedar bark,shl-kōm,noun,N/A,original
vocabulary,cedar basket,Mehoy',noun,N/A,original
vocabulary,cedar mat,Ts'emet,noun,N/A,original
vocabulary,certainly,"_of course_, ho′wüs",noun,N/A,original
vocabulary,ch'si′o-wün,"_a particular gift or capacity acquired by fasting, etc.,",noun,N/A,original
vocabulary,chair,xwetsawechen,noun,N/A,original
vocabulary,chickadee ( parus ),ts-ka-yis,noun,N/A,original
vocabulary,chief,si-ám,noun,N/A,original
vocabulary,chinook,"and probably in others, the word for ""thing"" is the same",noun,N/A,original
vocabulary,chipmunk,Kwepichen,noun,N/A,original
vocabulary,chisel,"_of stone_, sh-we′ükh",noun,N/A,original
vocabulary,chiton,hül′lüng,noun,N/A,original
vocabulary,chop wood,"_to_, küm′müt",noun,N/A,original
vocabulary,chuckanut,Nexw T'chekenets,noun,N/A,original
vocabulary,clam basket,Lhepat,noun,N/A,original
vocabulary,clear off,"_to_, (_of the weather_), s'ai-yüt-tung;",noun,N/A,original
vocabulary,clear skies,Ey' iLeng,noun,N/A,original
vocabulary,clear sky,shu-ewk'h-hu,noun,N/A,original
vocabulary,cloth,"_calico_, as-hálkh (_i.e. ""figured""_);",noun,N/A,original
vocabulary,clouds,spa′hu;,noun,N/A,original
vocabulary,coal,"_stone coal_, pe′chit",noun,N/A,original
vocabulary,coals  of fire ,chtist,noun,N/A,original
vocabulary,coat,snu-éks,noun,N/A,original
vocabulary,cockle ( cardium ),sk′läm,noun,N/A,original
vocabulary,cockle clam,SLho'em,noun,N/A,original
vocabulary,cod,ait,noun,N/A,original
vocabulary,cold (weather),Ts'ixweng,noun,N/A,original
vocabulary,color,Q'etLe,noun,N/A,original
vocabulary,come,"_to_, n'a, e-ná;",noun,N/A,original
vocabulary,come here,ena' tachel,noun,N/A,original
vocabulary,continuous wind,SpxweLe,noun,N/A,original
vocabulary,cook,"_to cook on hot stones_, k'k'pak",noun,N/A,original
vocabulary,cooked,"_it is cooked_ (""_done_""), kwül",noun,N/A,original
vocabulary,copulate,"_to_, sün-nókh",noun,N/A,original
vocabulary,cormorant,mäs-sitch,noun,N/A,original
vocabulary,cougar,shwo′wa,noun,N/A,original
vocabulary,cough,"_to_, ta′kwün",noun,N/A,original
vocabulary,cover,"_to_, kle-hwés-tüng",noun,N/A,original
vocabulary,crab,"bes-kwu, ä-chükh",noun,N/A,original
vocabulary,crab apple tree,kükh-whétsh,noun,N/A,original
vocabulary,cradle,pat′süts,noun,N/A,original
vocabulary,crow,skwekwote,noun,N/A,original
vocabulary,cry,"_I_, ho-ang′sün",noun,N/A,original
vocabulary,cup,mem′tük'h,noun,N/A,original
vocabulary,curlew,mük-mük-kwa,noun,N/A,original
vocabulary,cut  with a knife ,"_to_, shipt",noun,N/A,original
vocabulary,cuttle fish,ské-mūk,noun,N/A,original
vocabulary,dad,Man,noun,N/A,original
vocabulary,dance,"_to_, koi-el′lish, kwi-é-lish",noun,N/A,original
vocabulary,dark,klatch,noun,N/A,original
vocabulary,dark grey,Q'exeL,noun,N/A,original
vocabulary,daughter,ng-ün′na,noun,N/A,original
vocabulary,daughter-in-law,skwá-lo-wis,noun,N/A,original
vocabulary,dawn,Ta'tu,noun,N/A,original
vocabulary,day,skwá-chil,noun,N/A,original
vocabulary,dead,"kwái-i, ko-áikh",noun,N/A,original
vocabulary,deep,klütsh,noun,N/A,original
vocabulary,deep water bay,PisheLaqen,noun,N/A,original
vocabulary,deer,"smis, smé-is, hōpt;",noun,N/A,original
vocabulary,dewberry,skül-nu-whélsh,noun,N/A,original
vocabulary,dig,"_to_, _roots in general_, pä-nükhw′, pän-hu;",noun,N/A,original
vocabulary,dirty,tüng-hwäs′,noun,N/A,original
vocabulary,dish,chawi,noun,N/A,original
vocabulary,dishes,nu-wh'tsh-kwé-la,noun,N/A,original
vocabulary,distinction made,as in the Nisqually._),noun,N/A,original
vocabulary,dog,"sko-mái, ská-ha",noun,N/A,original
vocabulary,dog fish,Sky'ekshen,noun,N/A,original
vocabulary,dog salmon / chum,Quoloux,noun,N/A,original
vocabulary,don't,kwe-ét,noun,N/A,original
vocabulary,done/finished/complete,Hoy',noun,N/A,original
vocabulary,door,"_also road_, satl",noun,N/A,original
vocabulary,down,skái-us,noun,N/A,original
vocabulary,dream,"_to_, kül-kül-la′sin",noun,N/A,original
vocabulary,dress  a skin ,"_to_, e′ükh",noun,N/A,original
vocabulary,drink,"_to_, kâ-ko, nus-kâkh;",noun,N/A,original
vocabulary,drum,"_to_, _as in conjuring or at dances_, kau-ä′tüng",noun,N/A,original
vocabulary,drunk,"_foolish_, as-hwákw, äs-hwákw-tün",noun,N/A,original
vocabulary,dry,sel′-üp,noun,N/A,original
vocabulary,duck,spl-häntl;,noun,N/A,original
vocabulary,dull,"_as a tool_, kül-lás",noun,N/A,original
vocabulary,dusky grouse,ng'e′et,noun,N/A,original
vocabulary,dwarf pine ( p. contorta ),kwákhwl-ch,noun,N/A,original
vocabulary,eagle,kwelengsen,noun,N/A,original
vocabulary,eagles,"golden eagle, kwül′-lüng-sen;",noun,N/A,original
vocabulary,ear,kwül′lün,noun,N/A,original
vocabulary,ear rings,sklau-ün,noun,N/A,original
vocabulary,earth,"_the_, _land_, s'che-tung′a-whün, s'che-tüng-a-hüng;",noun,N/A,original
vocabulary,east wind,Sches,noun,N/A,original
vocabulary,eat,"_to_, it′lün, it′l'nkh;",noun,N/A,original
vocabulary,ebb tide,hi-klatl'h,noun,N/A,original
vocabulary,echo,sän-gün,noun,N/A,original
vocabulary,eel,Lelesen,noun,N/A,original
vocabulary,egg,"sn'lng-_á_nt, kwün-kwün-né",noun,N/A,original
vocabulary,eight,"tas, tus-sä-la, tus-sält-hu",noun,N/A,original
vocabulary,elbow,"_or knee-joint_, kl-yüt-sé-tün",noun,N/A,original
vocabulary,elder,tsé-wükh,noun,N/A,original
vocabulary,elder berry,Tsiweq',noun,N/A,original
vocabulary,elder sister,á-lish;,noun,N/A,original
vocabulary,elk,"kwáu-watsh, ky-yétsh, kai-yéts",noun,N/A,original
vocabulary,end,"_the end of anything_, sä-ans",noun,N/A,original
vocabulary,entrails,ük-khes,noun,N/A,original
vocabulary,equisetum,"mäkhw, á-is-küd",noun,N/A,original
vocabulary,evening,t'tang′en,verb/gerund,N/A,original
vocabulary,every^1 thing^2,mükw^1 stang^2,noun,N/A,original
vocabulary,exchange,"_to_, i-yakt′",noun,N/A,original
vocabulary,excuse me,qwaelex,noun,N/A,original
vocabulary,eye,kül′lüng,noun,N/A,original
vocabulary,eyebrow,süng′ün;,noun,N/A,original
vocabulary,face,sas,noun,N/A,original
vocabulary,fairhaven,SiseLech,noun,N/A,original
vocabulary,falcon,ts'ixw ts'exw,noun,N/A,original
vocabulary,fall,PixweL,noun,N/A,original
vocabulary,far,"chakw, chōkw",noun,N/A,original
vocabulary,fart,"tük-snitch. _It is the common expression of disgust at anything,",noun,N/A,original
vocabulary,fat,"_adj._, tlet-lük",noun,N/A,original
vocabulary,father,män,noun,N/A,original
vocabulary,father-in-law,slätl,noun,N/A,original
vocabulary,fawn,stül-la,noun,N/A,original
vocabulary,feathers,"stá-kw, sl'pal′kan",noun,N/A,original
vocabulary,female,slá-ne,noun,N/A,original
vocabulary,ferndale,Titisen,noun,N/A,original
vocabulary,fetch,"_to_, an-ákhw",noun,N/A,original
vocabulary,fierce animal,Q'etoseLnexw,noun,N/A,original
vocabulary,file,"_a_, clük-hün;",noun,N/A,original
vocabulary,finches ( generic ),tch-kwa′kwa;,noun,N/A,original
vocabulary,find,"_to_, kwün′nüng",noun,N/A,original
vocabulary,finger rings,hi-a′lüm-chis,noun,N/A,original
vocabulary,fingers,chi-hals′,noun,N/A,original
vocabulary,fins,ká-ting-üs,noun,N/A,original
vocabulary,fir bark,t'chül-le,noun,N/A,original
vocabulary,fir cones,ta-má-ku-küns,noun,N/A,original
vocabulary,fir tree,"chül-li-íltsh, chül-chils′;",noun,N/A,original
vocabulary,fire,chük-hós;,noun,N/A,original
vocabulary,first,il-chä-la,noun,N/A,original
vocabulary,fish,ETC.:,noun,N/A,original
vocabulary,fish crow,sku-kwa′ta,noun,N/A,original
vocabulary,fish weir,"_large_, s'chi-yäk;",noun,N/A,original
vocabulary,five,"kl-kats, kl-kätch-sä-la, kütch-sält-hu",noun,N/A,original
vocabulary,flea,tát-a-tlüm,noun,N/A,original
vocabulary,flesh,"_meat_, slé-ükw",noun,N/A,original
vocabulary,flicker ( p. mexic. ) tse′a,k't;,noun,N/A,original
vocabulary,flood tide,küm′mül,noun,N/A,original
vocabulary,flounder,o′we,noun,N/A,original
vocabulary,fly,"_a_, i-kwül′lüng, kwil-lüng",noun,N/A,original
vocabulary,fog,spi-á-hwün,noun,N/A,original
vocabulary,food,"set-lün, sä-wün",noun,N/A,original
vocabulary,foolish,as-hwäkw,noun,N/A,original
vocabulary,foot,s'hün′na,noun,N/A,original
vocabulary,foot-print,hün-nüug′en,noun,N/A,original
vocabulary,for the brook trout ,hu-má-na.),noun,N/A,original
vocabulary,fore quarter,tä-los,noun,N/A,original
vocabulary,forehead,skwang′us,noun,N/A,original
vocabulary,fork,motsiseng,noun,N/A,original
vocabulary,formerly,kwüt-li sil-la,noun,N/A,original
vocabulary,four,"ng′oss, ni-s_á_-la, sält-hu",noun,N/A,original
vocabulary,friend,klé-nük-wil;,noun,N/A,original
vocabulary,frog,Wexes,noun,N/A,original
vocabulary,from,Che,noun,N/A,original
vocabulary,fruit of do.,ka-ákhw,noun,N/A,original
vocabulary,full,hēts,noun,N/A,original
vocabulary,fundament,kla-wákh,noun,N/A,original
vocabulary,gadwal ( chaulelasmus ),shes′-sün-na,noun,N/A,original
vocabulary,gall,müs-suns,noun,N/A,original
vocabulary,game ( beaver teeth dice ),smi′-la-li,noun,N/A,original
vocabulary,get,"_to_, kwün′nüt;",noun,N/A,original
vocabulary,get to work,Schay' ches,noun,N/A,original
vocabulary,girl,"st-hlá-ni, sln-chá-atl",noun,N/A,original
vocabulary,give,"_to_, (_to give as a present_), üng-us;",noun,N/A,original
vocabulary,gizzard,s'he′a-kwüns,noun,N/A,original
vocabulary,gloves,"ts'-kwá-lit-cha, no-sé-sin",noun,N/A,original
vocabulary,gnat,chetsks,noun,N/A,original
vocabulary,go,"_to_, h'ya;",verb,N/A,original
vocabulary,golden eagle,cheskwin,noun,N/A,original
vocabulary,golden eye ( clangula ),hül-hül-lül′o-witl,noun,N/A,original
vocabulary,good,aikh,noun,N/A,original
vocabulary,goodbye (leaving),Hoy'kwche,noun,N/A,original
vocabulary,goodbye (staying),Hoy'ekw,noun,N/A,original
vocabulary,goose,exe,noun,N/A,original
vocabulary,gooseberry,küm-kwéltsh,noun,N/A,original
vocabulary,gooseberry point,Tamxwiqsen,noun,N/A,original
vocabulary,grandfather,cha-mok,noun,N/A,original
vocabulary,grandmother,sé-la,noun,N/A,original
vocabulary,grandparent,Sile,noun,N/A,original
vocabulary,grass,s'hüs-sái,noun,N/A,original
vocabulary,grave,"_serious_, ōkw-hüm′",noun,N/A,original
vocabulary,great,"hai-yikh′, ke-yikh′",noun,N/A,original
vocabulary,great grandparent,Chomekw,noun,N/A,original
vocabulary,grebes ( podiceps ),"skūl-küls′, hwa′nitsh, hwüt-tis",noun,N/A,original
vocabulary,green,"ni-tlüt′h, nük-wai",noun,N/A,original
vocabulary,grey haired,süts-üm-mékhw,noun,N/A,original
vocabulary,gristle of vertebræ,kwa-á-lüs,noun,N/A,original
vocabulary,grizzly,kwái-et-chin,noun,N/A,original
vocabulary,grizzly bear,Kwey'etchen,noun,N/A,original
vocabulary,ground robin,tül-tülk-si-nün;,noun,N/A,original
vocabulary,grunter,Sqwa',noun,N/A,original
vocabulary,guillemot ( uria ),"sko-kwa-kwüts, ko-kōkh-küts",noun,N/A,original
vocabulary,gulls,"large kinds, kwün-né;",noun,N/A,original
vocabulary,gum,"_resin_, _light wood_, smá-nitsh",noun,N/A,original
vocabulary,gun,"_north west musket_, pú-yük (pu, _the sound of a gun_);",noun,N/A,original
vocabulary,gunpowder,kwälkh;,noun,N/A,original
vocabulary,ha-áls,"_the principal super natural being, equivalent to_ Hun-né _of",noun,N/A,original
vocabulary,hail,klüm-whái-la,noun,N/A,original
vocabulary,hair,si-at′tün,noun,N/A,original
vocabulary,half,kl-chükh′,noun,N/A,original
vocabulary,halibut,So'tx,noun,N/A,original
vocabulary,hammer,"_to_, h'kwüs′chis;",noun,N/A,original
vocabulary,hand,sa′lüs,noun,N/A,original
vocabulary,handle,kült-shé-nün,noun,N/A,original
vocabulary,hare,ské-ka-was,noun,N/A,original
vocabulary,hawk,pa'als,noun,N/A,original
vocabulary,hawks,"pa-áls, tsekhw-tsükhw, tül-kwe′mitl, tsi-ha-litsh;",noun,N/A,original
vocabulary,he,"nekhl, nitlkh",noun,N/A,original
vocabulary,he ( that one ),"nel, nitlh",noun,N/A,original
vocabulary,head,"s-kwáng-i, skwâng-i",noun,N/A,original
vocabulary,hear,"_to_, chis′a-lan",noun,N/A,original
vocabulary,heart,"st-sá-la, tsá-la",noun,N/A,original
vocabulary,heavy,hüm,noun,N/A,original
vocabulary,hello,Now',noun,N/A,original
vocabulary,hemlock spruce ( abies ---- ---- ),s'ke-éltch,noun,N/A,original
vocabulary,here,ti-á-kwu,noun,N/A,original
vocabulary,herring,slang-üt,verb/gerund,N/A,original
vocabulary,herring roe,ché-mäsh,noun,N/A,original
vocabulary,high,ses'l,noun,N/A,original
vocabulary,high tide,küm-küm′mül,noun,N/A,original
vocabulary,his gun,tsä-ka po-yük,noun,N/A,original
vocabulary,hone,"_or whetstone_, shu-táks",noun,N/A,original
vocabulary,honeysuckle,"kat-kat-éltsh, saltsh; (_the leaves are chewed as a",noun,N/A,original
vocabulary,hoofs,kwâ-nüngs,noun,N/A,original
vocabulary,horns,tses′tün,noun,N/A,original
vocabulary,horse,stük-ké-u,noun,N/A,original
vocabulary,horse clam,Swam,noun,N/A,original
vocabulary,house,á-lüng;,noun,N/A,original
vocabulary,how,_how shall I do it?_ swün-né-üng-set ti-á?,noun,N/A,original
vocabulary,hu-má-ni,_salmon fry._ (_This last word suggests the Spokane word,noun,N/A,original
vocabulary,huckleberry,Spixw',noun,N/A,original
vocabulary,humming bird,sxwexwetcheli,noun,N/A,original
vocabulary,hunchbacked,sko-mé-sin,noun,N/A,original
vocabulary,hundred,"nat′so-itch, nat′so-wütsh",noun,N/A,original
vocabulary,hungry,kwá-kwi,noun,N/A,original
vocabulary,hunter,tsüm-á-mün-sa;,noun,N/A,original
vocabulary,hunting bag,shit-t_á_-la,noun,N/A,original
vocabulary,husband,n'stá-lush,noun,N/A,original
vocabulary,husband's other wives,sái-ya,noun,N/A,original
vocabulary,hün-nün,_the hump-backed salmon_ (_S. Proteus_);,noun,N/A,original
vocabulary,i,us,noun,N/A,original
vocabulary,i am from lummi,Che xwlemi sen,noun,N/A,original
vocabulary,i'm good,Ey' sen,noun,N/A,original
vocabulary,ice,"s'lel-lokh, sé-ma",noun,N/A,original
vocabulary,iká,ni _of the Chinooks_,noun,N/A,original
vocabulary,in,"_into_, nu-äs;",noun,N/A,original
vocabulary,indians,"_people_, atl-tá-ling-hu",noun,N/A,original
vocabulary,infant,"s'chi-chái-an, kük-ké, n's-chái-in",noun,N/A,original
vocabulary,inner bark of do.,skwekhw,noun,N/A,original
vocabulary,iron,küm-tüm′,noun,N/A,original
vocabulary,island,"kl-chas, s'kwüs-sá, sk'-sas",noun,N/A,original
vocabulary,jealous,sā-si-si,noun,N/A,original
vocabulary,jump,Xwiteng,noun,N/A,original
vocabulary,kamass rat ( neotoma ),ná-wit,noun,N/A,original
vocabulary,kelp ( fucus gigantia ),kwá-ang,noun,N/A,original
vocabulary,kettle,"_iron_, sklá-lup;",noun,N/A,original
vocabulary,kick,"_to_, lüm-mat′",noun,N/A,original
vocabulary,kidneys,sün-süns,noun,N/A,original
vocabulary,kill,"_to_, k'châ-tükh, ku-chel′la",noun,N/A,original
vocabulary,king fisher,s'shile,noun,N/A,original
vocabulary,king salmon / chinook,Yomech,noun,N/A,original
vocabulary,kingfisher,süs-she′la,noun,N/A,original
vocabulary,kiss,"_to_, nükh-wh'm-kwóst",noun,N/A,original
vocabulary,knife,shpál-tin;,noun,N/A,original
vocabulary,know,"_to_, Do you know Ské-ükl? (_a man of that name?_) hüt-ché-tüs-hu",noun,N/A,original
vocabulary,kwal-hu,"_S. canis_, SUCKLEY (_this name, it will be noticed, is",noun,N/A,original
vocabulary,kwül-yauk,_salmon when exhausted by spawning_;,noun,N/A,original
vocabulary,ké-ükh,_S. truncatus_?,noun,N/A,original
vocabulary,kütch′küs  salmo scoulerí ,RICHARDSON;,noun,N/A,original
vocabulary,lake,s'weltsh,noun,N/A,original
vocabulary,lance,st-kwái-itch,noun,N/A,original
vocabulary,land otter,s'katl,noun,N/A,original
vocabulary,land snail ( helix ),wük-kük'h,noun,N/A,original
vocabulary,large,mokw,noun,N/A,original
vocabulary,large clam ( lutraria ),swäm,noun,N/A,original
vocabulary,large cottus,skün-nákhw,noun,N/A,original
vocabulary,laugh,"_I_, nün-nái-yüng-sen",noun,N/A,original
vocabulary,lazy,"sä′hüng, sakhw;",noun,N/A,original
vocabulary,leaf,s'chá-sün,noun,N/A,original
vocabulary,leap,"_to_, hwé-tüng",noun,N/A,original
vocabulary,leaves,sats-tlá,noun,N/A,original
vocabulary,leg,"slá-hütsh, ská-kün;",noun,N/A,original
vocabulary,lend,"_to_, ä-yil",noun,N/A,original
vocabulary,liar,kai-yá-kan,noun,N/A,original
vocabulary,lichens,küt-che,noun,N/A,original
vocabulary,lie,"_I_, hukh-kái-ya-kün",noun,N/A,original
vocabulary,light,"_adj._, stá-tu",noun,N/A,original
vocabulary,light blue,Ney'eq,noun,N/A,original
vocabulary,lightning,"cha-á-kwa-chük, cha-küts-o-kikh",verb/gerund,N/A,original
vocabulary,lights,spül′hu,noun,N/A,original
vocabulary,like,shün-ángs,noun,N/A,original
vocabulary,line up,tenest,noun,N/A,original
vocabulary,ling cod,Y'yet,noun,N/A,original
vocabulary,liquorice fern ( an expectorant ),klüs-síp,noun,N/A,original
vocabulary,listen,"_imp._, ni-hwú-i-yan",noun,N/A,original
